colour	x	y	clickSelects	fill
#FF0000	0.622994652406417	0.40174173553719	Union	#FF0000
#FF0000	0.633689839572192	0.560262396694215	Vickery	#FF0000
#FF0000	0.31283422459893	0.246407024793388	Wabash	#FF0000
#0000FF	0.483957219251337	0.506260330578512	Wayne	#0000FF
#FF0000	0.56951871657754	0.580952479338843	Wells	#FF0000
#FF0000	0.633689839572192	0.49296694214876	Wells II	#FF0000
#0000FF	0.558823529411765	0.522935950413223	Williams	#0000FF
#FF0000	0.665775401069519	0.467095041322314	Williams 82	#FF0000
#0000FF	0.590909090909091	0.48326652892562	Woodworth	#0000FF
#0000FF	0.697860962566845	0.585826446280992	Zane	#0000FF
