x	y	showSelected
0.526737967914438	0.475253787878788	69338-51615-71
0.558823529411765	0.39007196969697	A3127
0.655080213903743	0.491231060606061	A4595
0.205882352941176	0.527518939393939	A50-7445
0.558823529411765	0.39007196969697	A5424
0.302139037433155	0.512147727272727	A55-5629-4
0.494652406417112	0.581918560606061	A72-507
0.494652406417112	0.581918560606061	A72-512
0.483957219251337	0.566693181818182	A72-512
0.516042780748663	0.633435606060606	A75-105021
0.644385026737968	0.212172348484849	A80-244003
0.644385026737968	0.347433712121212	A81-356022
0.644385026737968	0.212172348484849	A83-214072-23-8
0.751336898395722	0.446407196969697	A93-552034
0.0454545454545455	0.772727272727273	Adams
0.0882352941176471	0.847808712121212	Adams
0.526737967914438	0.475253787878788	AgriPro 25
0.548128342245989	0.580731060606061	Amcor
0.516042780748663	0.633435606060606	Amcor
0.644385026737968	0.631195075757576	Amcor 89
0.31283422459893	0.622852272727273	Amsoy
0.344919786096257	0.692456439393939	Amsoy
0.494652406417112	0.581918560606061	Amsoy 71
0.494652406417112	0.581918560606061	Amsoy x Calland
0.526737967914438	0.350289772727273	Amsoy x Calland
0.494652406417112	0.581918560606061	Amsoy x Portage
0.259358288770053	0.573051136363636	Anderson
0.0989304812834225	0.592880681818182	Anoka
0.366310160427808	0.461638257575758	AP68-1016
0.366310160427808	0.461638257575758	AP68-1022
0.494652406417112	0.581918560606061	AX429
0.31283422459893	0.622852272727273	AX56P64-1
0.526737967914438	0.475253787878788	AX901-40-2
0.697860962566845	0.449236742424242	AYR
0.516042780748663	0.633435606060606	B216
0.483957219251337	0.566693181818182	B216
0.473262032085562	0.618280303030303	Baron
0.526737967914438	0.475253787878788	Beeson 80
0.526737967914438	0.475253787878788	Beeson x AP68-1016
0.526737967914438	0.475253787878788	Beeson x L15
0.141711229946524	0.655244318181818	Blackhawk
0.205882352941176	0.527518939393939	Blackhawk
0.740641711229946	0.363789772727273	Blackjack 21
0.665775401069519	0.412	BSR 101 x Williams 82
0.644385026737968	0.347433712121212	Burlison
0.259358288770053	0.573051136363636	C1069
0.259358288770053	0.573051136363636	C1070
0.259358288770053	0.573051136363636	C1079
0.344919786096257	0.692456439393939	C1253
0.344919786096257	0.692456439393939	C1265
0.344919786096257	0.692456439393939	C1266
0.344919786096257	0.692456439393939	C1266R
0.483957219251337	0.343994318181818	C1421
0.558823529411765	0.34757196969697	C1520
0.526737967914438	0.350289772727273	C1528
0.697860962566845	0.281619318181818	C1732
0.259358288770053	0.573051136363636	C985
0.526737967914438	0.350289772727273	Calland x Altona
0.0989304812834225	0.86169696969697	Capital
0.558823529411765	0.39007196969697	Cartter
0.558823529411765	0.34757196969697	Century
0.526737967914438	0.350289772727273	Century
0.644385026737968	0.347433712121212	Century 84
0.665775401069519	0.412	Century 84
0.259358288770053	0.573051136363636	Chippewa
0.205882352941176	0.527518939393939	Chippewa
0.740641711229946	0.262611742424242	Cisne
0.836898395721925	0.388564393939394	CL0J095-4-6
0.836898395721925	0.388564393939394	CL0J173-6-2
0.836898395721925	0.388564393939394	CL0J173-6-8
0.259358288770053	0.573051136363636	Clark
0.205882352941176	0.527518939393939	Clark
0.366310160427808	0.461638257575758	Clark x Blackhawk
0.366310160427808	0.461638257575758	Clark x CNS
0.366310160427808	0.461638257575758	Clark x (Lincoln x CNS)
0.366310160427808	0.461638257575758	Clark x PI 86.024
0.366310160427808	0.461638257575758	Clark x T145
0.366310160427808	0.461638257575758	Clark x T201
0.526737967914438	0.475253787878788	CN210
0.526737967914438	0.475253787878788	CN290
0.366310160427808	0.461638257575758	Columbus
0.740641711229946	0.363789772727273	Conrad x Elgin 87
0.740641711229946	0.426289772727273	Conrad x Elgin 87
0.344919786096257	0.692456439393939	Corsoy
0.516042780748663	0.633435606060606	Corsoy 79
0.516042780748663	0.633435606060606	Corsoy x Hark
0.516042780748663	0.633435606060606	Corsoy x Wayne
0.483957219251337	0.566693181818182	Corsoy x Wayne
0.558823529411765	0.39007196969697	Crawford
0.516042780748663	0.633435606060606	Cumberland
0.558823529411765	0.39007196969697	Cumberland
0.366310160427808	0.461638257575758	Cutler
0.526737967914438	0.289462121212121	Cutler 71
0.82620320855615	0.207172348484848	CX1705R-108
0.141711229946524	0.655244318181818	CX291-42-1
0.355614973262032	0.47132196969697	D56-1185
0.633689839572192	0.398850378787879	Delsoy 4500
0.697860962566845	0.449236742424242	Dimon
0.0454545454545455	0.772727272727273	Dorman
0.526737967914438	0.350289772727273	Douglas
0.558823529411765	0.39007196969697	Douglas
0.558823529411765	0.39007196969697	DSR-304
0.0454545454545455	0.772727272727273	Dunfield x Haberlandt
0.751336898395722	0.654193181818182	Dwight
0.622994652406417	0.432850378787879	Egyptian
0.558823529411765	0.39007196969697	Elf
0.697860962566845	0.449236742424242	Elgin 87
0.344919786096257	0.692456439393939	Evans
0.558823529411765	0.39007196969697	Fayette
0.473262032085562	0.618280303030303	FH22-815
0.259358288770053	0.573051136363636	Ford
0.205882352941176	0.527518939393939	Ford
0.548128342245989	0.580731060606061	Fremont
0.558823529411765	0.39007196969697	Fremont
0.0454545454545455	0.772727272727273	Gibson
0.558823529411765	0.39007196969697	Gnome
0.259358288770053	0.573051136363636	Grant
0.0454545454545455	0.772727272727273	H2
0.0454545454545455	0.772727272727273	Haberlandt x Dunfield
0.516042780748663	0.633435606060606	Harcor
0.601604278074866	0.632477272727273	Harcor x (M61-96 x Hobbitt 87)
0.516042780748663	0.633435606060606	Hardin
0.344919786096257	0.692456439393939	Hark
0.302139037433155	0.512147727272727	Hark
