x	y	showSelected
0.526737967914438	0.443181818181818	69338-51615-71
0.558823529411765	0.556407624633431	A3127
0.655080213903743	0.834002932551321	A4595
0.205882352941176	0.3725073313783	A50-7445
0.558823529411765	0.556407624633431	A5424
0.302139037433155	0.467507331378301	A55-5629-4
0.494652406417112	0.437976539589442	A72-507
0.494652406417112	0.437976539589442	A72-512
0.483957219251337	0.450791788856305	A72-512
0.516042780748663	0.336041055718474	A75-105021
0.644385026737968	0.345645161290322	A80-244003
0.644385026737968	0.439413489736069	A81-356022
0.644385026737968	0.345645161290322	A83-214072-23-8
0.751336898395722	0.487111436950148	A93-552034
0.0454545454545455	0.218431085043988	Adams
0.0882352941176471	0.441862170087974	Adams
0.526737967914438	0.443181818181818	AgriPro 25
0.548128342245989	0.399662756598242	Amcor
0.516042780748663	0.336041055718474	Amcor
0.644385026737968	0.549384164222873	Amcor 89
0.31283422459893	0.264662756598241	Amsoy
0.344919786096257	0.341642228739003	Amsoy
0.494652406417112	0.437976539589442	Amsoy 71
0.494652406417112	0.437976539589442	Amsoy x Calland
0.526737967914438	0.387917888563049	Amsoy x Calland
0.494652406417112	0.437976539589442	Amsoy x Portage
0.259358288770053	0.357067448680351	Anderson
0.0989304812834225	0.352844574780057	Anoka
0.366310160427808	0.539868035190617	AP68-1016
0.366310160427808	0.539868035190617	AP68-1022
0.494652406417112	0.437976539589442	AX429
0.31283422459893	0.264662756598241	AX56P64-1
0.526737967914438	0.443181818181818	AX901-40-2
0.697860962566845	0.467199413489735	AYR
0.516042780748663	0.336041055718474	B216
0.483957219251337	0.450791788856305	B216
0.473262032085562	0.33340175953079	Baron
0.526737967914438	0.443181818181818	Beeson 80
0.526737967914438	0.443181818181818	Beeson x AP68-1016
0.526737967914438	0.443181818181818	Beeson x L15
0.141711229946524	0.458870967741934	Blackhawk
0.205882352941176	0.3725073313783	Blackhawk
0.740641711229946	0.5083284457478	Blackjack 21
0.665775401069519	0.619545454545455	BSR 101 x Williams 82
0.644385026737968	0.439413489736069	Burlison
0.259358288770053	0.357067448680351	C1069
0.259358288770053	0.357067448680351	C1070
0.259358288770053	0.357067448680351	C1079
0.344919786096257	0.341642228739003	C1253
0.344919786096257	0.341642228739003	C1265
0.344919786096257	0.341642228739003	C1266
0.344919786096257	0.341642228739003	C1266R
0.483957219251337	0.378695014662754	C1421
0.558823529411765	0.462126099706744	C1520
0.526737967914438	0.387917888563049	C1528
0.697860962566845	0.461906158357772	C1732
0.259358288770053	0.357067448680351	C985
0.526737967914438	0.387917888563049	Calland x Altona
0.0989304812834225	0.364633431085044	Capital
0.558823529411765	0.556407624633431	Cartter
0.558823529411765	0.462126099706744	Century
0.526737967914438	0.387917888563049	Century
0.644385026737968	0.439413489736069	Century 84
0.665775401069519	0.619545454545455	Century 84
0.259358288770053	0.357067448680351	Chippewa
0.205882352941176	0.3725073313783	Chippewa
0.740641711229946	0.543152492668622	Cisne
0.836898395721925	0.616730205278593	CL0J095-4-6
0.836898395721925	0.616730205278593	CL0J173-6-2
0.836898395721925	0.616730205278593	CL0J173-6-8
0.259358288770053	0.357067448680351	Clark
0.205882352941176	0.3725073313783	Clark
0.366310160427808	0.539868035190617	Clark x Blackhawk
0.366310160427808	0.539868035190617	Clark x CNS
0.366310160427808	0.539868035190617	Clark x (Lincoln x CNS)
0.366310160427808	0.539868035190617	Clark x PI 86.024
0.366310160427808	0.539868035190617	Clark x T145
0.366310160427808	0.539868035190617	Clark x T201
0.526737967914438	0.443181818181818	CN210
0.526737967914438	0.443181818181818	CN290
0.366310160427808	0.539868035190617	Columbus
0.740641711229946	0.5083284457478	Conrad x Elgin 87
0.740641711229946	0.545909090909092	Conrad x Elgin 87
0.344919786096257	0.341642228739003	Corsoy
0.516042780748663	0.336041055718474	Corsoy 79
0.516042780748663	0.336041055718474	Corsoy x Hark
0.516042780748663	0.336041055718474	Corsoy x Wayne
0.483957219251337	0.450791788856305	Corsoy x Wayne
0.558823529411765	0.556407624633431	Crawford
0.516042780748663	0.336041055718474	Cumberland
0.558823529411765	0.556407624633431	Cumberland
0.366310160427808	0.539868035190617	Cutler
0.526737967914438	0.509501466275662	Cutler 71
0.82620320855615	0.491583577712609	CX1705R-108
0.141711229946524	0.458870967741934	CX291-42-1
0.355614973262032	0.582859237536658	D56-1185
0.633689839572192	0.45316715542522	Delsoy 4500
0.697860962566845	0.467199413489735	Dimon
0.0454545454545455	0.218431085043988	Dorman
0.526737967914438	0.387917888563049	Douglas
0.558823529411765	0.556407624633431	Douglas
0.558823529411765	0.556407624633431	DSR-304
0.0454545454545455	0.218431085043988	Dunfield x Haberlandt
0.751336898395722	0.698885630498535	Dwight
0.622994652406417	0.594692082111438	Egyptian
0.558823529411765	0.556407624633431	Elf
0.697860962566845	0.467199413489735	Elgin 87
0.344919786096257	0.341642228739003	Evans
0.558823529411765	0.556407624633431	Fayette
0.473262032085562	0.33340175953079	FH22-815
0.259358288770053	0.357067448680351	Ford
0.205882352941176	0.3725073313783	Ford
0.548128342245989	0.399662756598242	Fremont
0.558823529411765	0.556407624633431	Fremont
0.0454545454545455	0.218431085043988	Gibson
0.558823529411765	0.556407624633431	Gnome
0.259358288770053	0.357067448680351	Grant
0.0454545454545455	0.218431085043988	H2
0.0454545454545455	0.218431085043988	Haberlandt x Dunfield
0.516042780748663	0.336041055718474	Harcor
0.601604278074866	0.417331378299121	Harcor x (M61-96 x Hobbitt 87)
0.516042780748663	0.336041055718474	Hardin
0.344919786096257	0.341642228739003	Hark
0.302139037433155	0.467507331378301	Hark
