x	y	showSelected
0.526737967914438	0.544388563675313	69338-51615-71
0.558823529411765	0.826704345702813	A3127
0.655080213903743	0.278813574850756	A4595
0.205882352941176	0.698863236860171	A50-7445
0.558823529411765	0.826704345702813	A5424
0.302139037433155	0.680920737234106	A55-5629-4
0.494652406417112	0.63494268243885	A72-507
0.494652406417112	0.63494268243885	A72-512
0.483957219251337	0.649147960316415	A72-512
0.516042780748663	0.672229672517954	A75-105021
0.644385026737968	0.755682217685283	A80-244003
0.644385026737968	0.666902959649511	A81-356022
0.644385026737968	0.755682217685283	A83-214072-23-8
0.751336898395722	0.682883098254841	A93-552034
0.0454545454545455	0.684657958982606	Adams
0.0882352941176471	0.826704345702813	Adams
0.526737967914438	0.544388563675313	AgriPro 25
0.548128342245989	0.656249533912624	Amcor
0.516042780748663	0.672229672517954	Amcor
0.644385026737968	0.664098977995562	Amcor 89
0.31283422459893	0.684657958982606	Amsoy
0.344919786096257	0.704189949728615	Amsoy
0.494652406417112	0.63494268243885	Amsoy 71
0.494652406417112	0.63494268243885	Amsoy x Calland
0.526737967914438	0.862216475054151	Amsoy x Calland
0.494652406417112	0.63494268243885	Amsoy x Portage
0.259358288770053	0.649147960316415	Anderson
0.0989304812834225	0.58700226662286	Anoka
0.366310160427808	0.552760025619358	AP68-1016
0.366310160427808	0.552760025619358	AP68-1022
0.494652406417112	0.63494268243885	AX429
0.31283422459893	0.684657958982606	AX56P64-1
0.526737967914438	0.544388563675313	AX901-40-2
0.697860962566845	0.672229672517954	AYR
0.516042780748663	0.672229672517954	B216
0.483957219251337	0.649147960316415	B216
0.473262032085562	0.61896254383352	Baron
0.526737967914438	0.544388563675313	Beeson 80
0.526737967914438	0.544388563675313	Beeson x AP68-1016
0.526737967914438	0.544388563675313	Beeson x L15
0.141711229946524	0.591208239103783	Blackhawk
0.205882352941176	0.698863236860171	Blackhawk
0.740641711229946	0.650922821044181	Blackjack 21
0.665775401069519	0.549715276543756	BSR 101 x Williams 82
0.644385026737968	0.666902959649511	Burlison
0.259358288770053	0.649147960316415	C1069
0.259358288770053	0.649147960316415	C1070
0.259358288770053	0.649147960316415	C1079
0.344919786096257	0.704189949728615	C1253
0.344919786096257	0.704189949728615	C1265
0.344919786096257	0.704189949728615	C1266
0.344919786096257	0.704189949728615	C1266R
0.483957219251337	0.826704345702813	C1421
0.558823529411765	0.339691510881622	C1520
0.526737967914438	0.862216475054151	C1528
0.697860962566845	0.533735137938426	C1732
0.259358288770053	0.649147960316415	C985
0.526737967914438	0.862216475054151	Calland x Altona
0.0989304812834225	0.826704345702813	Capital
0.558823529411765	0.826704345702813	Cartter
0.558823529411765	0.339691510881622	Century
0.526737967914438	0.862216475054151	Century
0.644385026737968	0.666902959649511	Century 84
0.665775401069519	0.549715276543756	Century 84
0.259358288770053	0.649147960316415	Chippewa
0.205882352941176	0.698863236860171	Chippewa
0.740641711229946	0.664098977995562	Cisne
0.836898395721925	0.682883098254841	CL0J095-4-6
0.836898395721925	0.682883098254841	CL0J173-6-2
0.836898395721925	0.682883098254841	CL0J173-6-8
0.259358288770053	0.649147960316415	Clark
0.205882352941176	0.698863236860171	Clark
0.366310160427808	0.552760025619358	Clark x Blackhawk
0.366310160427808	0.552760025619358	Clark x CNS
0.366310160427808	0.552760025619358	Clark x (Lincoln x CNS)
0.366310160427808	0.552760025619358	Clark x PI 86.024
0.366310160427808	0.552760025619358	Clark x T145
0.366310160427808	0.552760025619358	Clark x T201
0.526737967914438	0.544388563675313	CN210
0.526737967914438	0.544388563675313	CN290
0.366310160427808	0.552760025619358	Columbus
0.740641711229946	0.650922821044181	Conrad x Elgin 87
0.740641711229946	0.675312773926209	Conrad x Elgin 87
0.344919786096257	0.704189949728615	Corsoy
0.516042780748663	0.672229672517954	Corsoy 79
0.516042780748663	0.672229672517954	Corsoy x Hark
0.516042780748663	0.672229672517954	Corsoy x Wayne
0.483957219251337	0.649147960316415	Corsoy x Wayne
0.558823529411765	0.826704345702813	Crawford
0.516042780748663	0.672229672517954	Cumberland
0.558823529411765	0.826704345702813	Cumberland
0.366310160427808	0.552760025619358	Cutler
0.526737967914438	0.339691510881622	Cutler 71
0.82620320855615	0.63494268243885	CX1705R-108
0.141711229946524	0.591208239103783	CX291-42-1
0.355614973262032	0.370128348211908	D56-1185
0.633689839572192	0.649147960316415	Delsoy 4500
0.697860962566845	0.672229672517954	Dimon
0.0454545454545455	0.684657958982606	Dorman
0.526737967914438	0.862216475054151	Douglas
0.558823529411765	0.826704345702813	Douglas
0.558823529411765	0.826704345702813	DSR-304
0.0454545454545455	0.684657958982606	Dunfield x Haberlandt
0.751336898395722	0.714843375465501	Dwight
0.622994652406417	0.410713638899152	Egyptian
0.558823529411765	0.826704345702813	Elf
0.697860962566845	0.672229672517954	Elgin 87
0.344919786096257	0.704189949728615	Evans
0.558823529411765	0.826704345702813	Fayette
0.473262032085562	0.61896254383352	FH22-815
0.259358288770053	0.649147960316415	Ford
0.205882352941176	0.698863236860171	Ford
0.548128342245989	0.656249533912624	Fremont
0.558823529411765	0.826704345702813	Fremont
0.0454545454545455	0.684657958982606	Gibson
0.558823529411765	0.826704345702813	Gnome
0.259358288770053	0.649147960316415	Grant
0.0454545454545455	0.684657958982606	H2
0.0454545454545455	0.684657958982606	Haberlandt x Dunfield
0.516042780748663	0.672229672517954	Harcor
0.601604278074866	0.536694659608133	Harcor x (M61-96 x Hobbitt 87)
0.516042780748663	0.672229672517954	Hardin
0.344919786096257	0.704189949728615	Hark
0.302139037433155	0.680920737234106	Hark
