x	y	showSelected
0.526737967914438	0.469690909090909	69338-51615-71
0.558823529411765	0.6562	A3127
0.655080213903743	0.471909090909091	A4595
0.205882352941176	0.413418181818182	A50-7445
0.558823529411765	0.6562	A5424
0.302139037433155	0.494363636363637	A55-5629-4
0.494652406417112	0.602163636363637	A72-507
0.494652406417112	0.602163636363637	A72-512
0.483957219251337	0.579345454545454	A72-512
0.516042780748663	0.542	A75-105021
0.644385026737968	0.786781818181818	A80-244003
0.644385026737968	0.465363636363636	A81-356022
0.644385026737968	0.786781818181818	A83-214072-23-8
0.751336898395722	0.592636363636364	A93-552034
0.0454545454545455	0.722309090909091	Adams
0.0882352941176471	0.478509090909091	Adams
0.526737967914438	0.469690909090909	AgriPro 25
0.548128342245989	0.609963636363636	Amcor
0.516042780748663	0.542	Amcor
0.644385026737968	0.499127272727273	Amcor 89
0.31283422459893	0.707436363636363	Amsoy
0.344919786096257	0.468836363636364	Amsoy
0.494652406417112	0.602163636363637	Amsoy 71
0.494652406417112	0.602163636363637	Amsoy x Calland
0.526737967914438	0.544636363636364	Amsoy x Calland
0.494652406417112	0.602163636363637	Amsoy x Portage
0.259358288770053	0.641327272727273	Anderson
0.0989304812834225	0.400872727272727	Anoka
0.366310160427808	0.511563636363637	AP68-1016
0.366310160427808	0.511563636363637	AP68-1022
0.494652406417112	0.602163636363637	AX429
0.31283422459893	0.707436363636363	AX56P64-1
0.526737967914438	0.469690909090909	AX901-40-2
0.697860962566845	0.645454545454546	AYR
0.516042780748663	0.542	B216
0.483957219251337	0.579345454545454	B216
0.473262032085562	0.506927272727273	Baron
0.526737967914438	0.469690909090909	Beeson 80
0.526737967914438	0.469690909090909	Beeson x AP68-1016
0.526737967914438	0.469690909090909	Beeson x L15
0.141711229946524	0.306054545454545	Blackhawk
0.205882352941176	0.413418181818182	Blackhawk
0.740641711229946	0.484418181818182	Blackjack 21
0.665775401069519	0.607436363636364	BSR 101 x Williams 82
0.644385026737968	0.465363636363636	Burlison
0.259358288770053	0.641327272727273	C1069
0.259358288770053	0.641327272727273	C1070
0.259358288770053	0.641327272727273	C1079
0.344919786096257	0.468836363636364	C1253
0.344919786096257	0.468836363636364	C1265
0.344919786096257	0.468836363636364	C1266
0.344919786096257	0.468836363636364	C1266R
0.483957219251337	0.623963636363636	C1421
0.558823529411765	0.536363636363636	C1520
0.526737967914438	0.544636363636364	C1528
0.697860962566845	0.425054545454546	C1732
0.259358288770053	0.641327272727273	C985
0.526737967914438	0.544636363636364	Calland x Altona
0.0989304812834225	0.482636363636363	Capital
0.558823529411765	0.6562	Cartter
0.558823529411765	0.536363636363636	Century
0.526737967914438	0.544636363636364	Century
0.644385026737968	0.465363636363636	Century 84
0.665775401069519	0.607436363636364	Century 84
0.259358288770053	0.641327272727273	Chippewa
0.205882352941176	0.413418181818182	Chippewa
0.740641711229946	0.343290909090909	Cisne
0.836898395721925	0.4368	CL0J095-4-6
0.836898395721925	0.4368	CL0J173-6-2
0.836898395721925	0.4368	CL0J173-6-8
0.259358288770053	0.641327272727273	Clark
0.205882352941176	0.413418181818182	Clark
0.366310160427808	0.511563636363637	Clark x Blackhawk
0.366310160427808	0.511563636363637	Clark x CNS
0.366310160427808	0.511563636363637	Clark x (Lincoln x CNS)
0.366310160427808	0.511563636363637	Clark x PI 86.024
0.366310160427808	0.511563636363637	Clark x T145
0.366310160427808	0.511563636363637	Clark x T201
0.526737967914438	0.469690909090909	CN210
0.526737967914438	0.469690909090909	CN290
0.366310160427808	0.511563636363637	Columbus
0.740641711229946	0.484418181818182	Conrad x Elgin 87
0.740641711229946	0.611690909090909	Conrad x Elgin 87
0.344919786096257	0.468836363636364	Corsoy
0.516042780748663	0.542	Corsoy 79
0.516042780748663	0.542	Corsoy x Hark
0.516042780748663	0.542	Corsoy x Wayne
0.483957219251337	0.579345454545454	Corsoy x Wayne
0.558823529411765	0.6562	Crawford
0.516042780748663	0.542	Cumberland
0.558823529411765	0.6562	Cumberland
0.366310160427808	0.511563636363637	Cutler
0.526737967914438	0.5752	Cutler 71
0.82620320855615	0.474454545454546	CX1705R-108
0.141711229946524	0.306054545454545	CX291-42-1
0.355614973262032	0.648763636363637	D56-1185
0.633689839572192	0.742981818181818	Delsoy 4500
0.697860962566845	0.645454545454546	Dimon
0.0454545454545455	0.722309090909091	Dorman
0.526737967914438	0.544636363636364	Douglas
0.558823529411765	0.6562	Douglas
0.558823529411765	0.6562	DSR-304
0.0454545454545455	0.722309090909091	Dunfield x Haberlandt
0.751336898395722	0.5	Dwight
0.622994652406417	0.670254545454545	Egyptian
0.558823529411765	0.6562	Elf
0.697860962566845	0.645454545454546	Elgin 87
0.344919786096257	0.468836363636364	Evans
0.558823529411765	0.6562	Fayette
0.473262032085562	0.506927272727273	FH22-815
0.259358288770053	0.641327272727273	Ford
0.205882352941176	0.413418181818182	Ford
0.548128342245989	0.609963636363636	Fremont
0.558823529411765	0.6562	Fremont
0.0454545454545455	0.722309090909091	Gibson
0.558823529411765	0.6562	Gnome
0.259358288770053	0.641327272727273	Grant
0.0454545454545455	0.722309090909091	H2
0.0454545454545455	0.722309090909091	Haberlandt x Dunfield
0.516042780748663	0.542	Harcor
0.601604278074866	0.466672727272727	Harcor x (M61-96 x Hobbitt 87)
0.516042780748663	0.542	Hardin
0.344919786096257	0.468836363636364	Hark
0.302139037433155	0.494363636363637	Hark
0.0989304812834225	0.482636363636363	Harosoy
0.344919786096257	0.468836363636364	Harosoy 63
0.344919786096257	0.468836363636364	Harosoy x T117
