colour	x	y	showSelected	fill
#0000FF	0.31283422459893	0.684657958982606	Adams	#0000FF
#FF0000	0.483957219251337	0.826704345702813	Adelphia	#FF0000
#0000FF	0.0989304812834225	0.826704345702813	A.K. (Harrow)	#0000FF
#0000FF	0.644385026737968	0.664098977995562	Amcor	#0000FF
#0000FF	0.494652406417112	0.63494268243885	Amsoy	#0000FF
#FF0000	0.548128342245989	0.656249533912624	Amsoy 71	#FF0000
#0000FF	0.526737967914438	0.544388563675313	Beeson	#0000FF
#FF0000	0.644385026737968	0.666902959649511	Beeson 80	#FF0000
#0000FF	0.558823529411765	0.339691510881622	Bonus	#0000FF
#FF0000	0.17379679144385	0.512174734932114	Boone	#FF0000
#FF0000	0.740641711229946	0.664098977995562	Burlison	#FF0000
#0000FF	0.526737967914438	0.862216475054151	Calland	#0000FF
#FF0000	0.644385026737968	0.666902959649511	Century	#FF0000
#FF0000	0.697860962566845	0.533735137938426	Century 84	#FF0000
#FF0000	0.719251336898396	0.720170088333945	Chamberlain	#FF0000
#FF0000	0.227272727272727	0.613635830965077	Chief	#FF0000
#FF0000	0.815508021390374	0.522321057603925	Cisne	#FF0000
#0000FF	0.366310160427808	0.552760025619358	Clark	#0000FF
#FF0000	0.473262032085562	0.339691510881622	Clark 63	#FF0000
#FF0000	0.740641711229946	0.650922821044181	Conrad	#FF0000
#FF0000	0.772727272727273	0.339691510881622	Corsica	#FF0000
#0000FF	0.516042780748663	0.672229672517954	Corsoy	#0000FF
#FF0000	0.644385026737968	0.672229672517954	Corsoy 79	#FF0000
#0000FF	0.633689839572192	0.649147960316415	Cumberland	#0000FF
#FF0000	0.526737967914438	0.339691510881622	Cutler	#FF0000
#0000FF	0.655080213903743	0.278813574850756	Douglas	#0000FF
#FF0000	0.783422459893048	0.684657958982606	Dunbar	#FF0000
#0000FF	0.0454545454545455	0.684657958982606	Dunfield	#0000FF
#FF0000	0.836898395721925	0.682883098254841	Dwight	#FF0000
#FF0000	0.697860962566845	0.672229672517954	Elgin	#FF0000
#FF0000	0.740641711229946	0.675312773926209	Elgin 87	#FF0000
#FF0000	0.740641711229946	0.309252542866189	Flyer	#FF0000
#0000FF	0.419786096256685	0.63494268243885	Ford	#0000FF
#FF0000	0.622994652406417	0.410713638899152	Franklin	#FF0000
#FF0000	0.248663101604278	0.370128348211908	Gibson	#FF0000
#0000FF	0.601604278074866	0.536694659608133	Harcor	#0000FF
#0000FF	0.344919786096257	0.704189949728615	Harosoy	#0000FF
#FF0000	0.473262032085562	0.61896254383352	Harosoy 63	#FF0000
#FF0000	0.697860962566845	0.670454811790189	Harper	#FF0000
#0000FF	0.302139037433155	0.680920737234106	Hawkeye	#0000FF
#FF0000	0.473262032085562	0.666902959649511	Hawkeye 63	#FF0000
#FF0000	0.815508021390374	0.597655692359746	IA 2021	#FF0000
#FF0000	0.815508021390374	0.630457590203621	IA 2022	#FF0000
#FF0000	0.8475935828877	0.666902959649511	IA 2038	#FF0000
#FF0000	0.868983957219251	0.640269395307294	IA 2050	#FF0000
#FF0000	0.868983957219251	0.650922821044181	IA 2052	#FF0000
#FF0000	0.922459893048128	0.629615969570407	IA 2065	#FF0000
#FF0000	0.901069518716578	0.664098977995562	IA 2068	#FF0000
#FF0000	0.933155080213904	0.517754999333095	IA 2094	#FF0000
#FF0000	0.815508021390374	0.741476939807718	IA 3004	#FF0000
#FF0000	0.8475935828877	0.812499067825248	IA 3010	#FF0000
#FF0000	0.879679144385027	0.691761663263962	IA 3014	#FF0000
#0000FF	0.901069518716578	0.720170088333945	IA 3023	#0000FF
#FF0000	0.911764705882353	0.684657958982606	IA 3024	#FF0000
#0000FF	0.0882352941176471	0.826704345702813	Illini	#0000FF
#FF0000	0.751336898395722	0.714843375465501	Jack	#FF0000
#FF0000	0.751336898395722	0.682883098254841	Kenwood	#FF0000
#FF0000	0.0989304812834225	0.58700226662286	Korean	#FF0000
#FF0000	0.794117647058823	0.633928476308699	KS4694	#FF0000
#0000FF	0.665775401069519	0.339691510881622	Lawrence	#0000FF
#FF0000	0.922459893048128	0.491882089588492	LD00-3309	#FF0000
#0000FF	0.259358288770053	0.649147960316415	Lincoln	#0000FF
#FF0000	0.419786096256685	0.544388563675313	Lindarin	#FF0000
#FF0000	0.901069518716578	0.370128348211908	LN97-15076	#FF0000
#FF0000	0.879679144385027	0.704189949728615	Loda	#FF0000
#FF0000	0.879679144385027	0.370128348211908	LS93-0375	#FF0000
#FF0000	0.815508021390374	0.73437536621151	Macon	#FF0000
#FF0000	0.120320855614973	0.248374606835323	Macoupin	#FF0000
#FF0000	0.163101604278075	0.805397494229039	Mandell	#FF0000
#FF0000	0.82620320855615	0.741476939807718	Maverick	#FF0000
#FF0000	0.227272727272727	0.862216475054151	Mingo	#FF0000
#FF0000	0.719251336898396	0.278813574850756	Morgan	#FF0000
#0000FF	0.141711229946524	0.591208239103783	Mukden	#0000FF
#FF0000	0.815508021390374	0.339691510881622	Mustang	#FF0000
#FF0000	0.911764705882353	0.883523326527925	NE3001	#FF0000
#0000FF	0.633689839572192	0.848011197176586	Oakland	#0000FF
#FF0000	0.82620320855615	0.339691510881622	Omaha	#FF0000
#FF0000	0.836898395721925	0.826704345702813	Pana	#FF0000
#FF0000	0.227272727272727	0.694806412339565	Patoka	#FF0000
#0000FF	0.644385026737968	0.755682217685283	Pella	#0000FF
#FF0000	0.729946524064171	0.862216475054151	Pella 86	#FF0000
#0000FF	0.355614973262032	0.370128348211908	Perry	#0000FF
#FF0000	0.70855614973262	0.709516662597058	Preston	#FF0000
#FF0000	0.751336898395722	0.672229672517954	Private 2- 1	#FF0000
#FF0000	0.804812834224599	0.666902959649511	Private 2-10	#FF0000
#FF0000	0.676470588235294	0.58700226662286	Private 2-11	#FF0000
#FF0000	0.82620320855615	0.629615969570407	Private 2-12	#FF0000
#FF0000	0.954545454545455	0.544388563675313	Private 2-13	#FF0000
#FF0000	0.954545454545455	0.61896254383352	Private 2-14	#FF0000
#FF0000	0.70855614973262	0.656249533912624	Private 2-15	#FF0000
#FF0000	0.804812834224599	0.709516662597058	Private 2-16	#FF0000
#FF0000	0.879679144385027	0.63494268243885	Private 2-17	#FF0000
#FF0000	0.836898395721925	0.61896254383352	Private 2-18	#FF0000
#FF0000	0.922459893048128	0.61896254383352	Private 2-19	#FF0000
#FF0000	0.762032085561497	0.650922821044181	Private 2- 2	#FF0000
#FF0000	0.922459893048128	0.666902959649511	Private 2-20	#FF0000
#FF0000	0.911764705882353	0.557564720626694	Private 2- 3	#FF0000
#FF0000	0.879679144385027	0.677556385386398	Private 2- 4	#FF0000
#FF0000	0.794117647058823	0.658493145372812	Private 2- 5	#FF0000
#FF0000	0.772727272727273	0.636063422826371	Private 2- 6	#FF0000
#FF0000	0.622994652406417	0.60298240522819	Private 2- 7	#FF0000
#FF0000	0.622994652406417	0.661576246781067	Private 2- 8	#FF0000
#FF0000	0.740641711229946	0.421874167701114	Private 2- 9	#FF0000
#0000FF	0.633689839572192	0.755682217685283	Private 3- 1	#0000FF
#FF0000	0.762032085561497	0.720170088333945	Private 3-10	#FF0000
#FF0000	0.82620320855615	0.826704345702813	Private 3-11	#FF0000
#FF0000	0.836898395721925	0.613635830965077	Private 3-12	#FF0000
#FF0000	0.911764705882353	0.670454811790189	Private 3-13	#FF0000
#FF0000	0.943850267379679	0.613635830965077	Private 3-14	#FF0000
#FF0000	0.687165775401069	0.698863236860171	Private 3-15	#FF0000
#FF0000	0.772727272727273	0.727271661930154	Private 3-16	#FF0000
#FF0000	0.783422459893048	0.663351107508833	Private 3-17	#FF0000
#FF0000	0.794117647058823	0.791192216351474	Private 3-18	#FF0000
#FF0000	0.804812834224599	0.720170088333945	Private 3-19	#FF0000
#FF0000	0.719251336898396	0.862216475054151	Private 3- 2	#FF0000
#FF0000	0.868983957219251	0.791192216351474	Private 3-20	#FF0000
#FF0000	0.879679144385027	0.684657958982606	Private 3-21	#FF0000
#FF0000	0.933155080213904	0.563920554421321	Private 3-22	#FF0000
#FF0000	0.933155080213904	0.741476939807718	Private 3-23	#FF0000
#FF0000	0.772727272727273	0.507101573596209	Private 3- 3	#FF0000
#FF0000	0.82620320855615	0.784090642755266	Private 3- 4	#FF0000
#FF0000	0.836898395721925	0.670454811790189	Private 3- 5	#FF0000
#FF0000	0.8475935828877	0.720170088333945	Private 3- 6	#FF0000
#FF0000	0.858288770053476	0.720170088333945	Private 3- 7	#FF0000
#FF0000	0.890374331550802	0.542613702947547	Private 3- 8	#FF0000
#FF0000	0.751336898395722	0.791192216351474	Private 3- 9	#FF0000
#FF0000	0.70855614973262	0.339691510881622	Private 4- 1	#FF0000
#FF0000	0.868983957219251	0.339691510881622	Private 4-10	#FF0000
#FF0000	0.868983957219251	0.400567316227341	Private 4-11	#FF0000
#FF0000	0.580213903743315	0.278813574850756	Private 4-12	#FF0000
#FF0000	0.697860962566845	0.339691510881622	Private 4-13	#FF0000
#FF0000	0.783422459893048	0.339691510881622	Private 4-14	#FF0000
#FF0000	0.794117647058823	0.816558023031002	Private 4-15	#FF0000
#FF0000	0.804812834224599	0.339691510881622	Private 4-16	#FF0000
#FF0000	0.82620320855615	0.278813574850756	Private 4-17	#FF0000
#FF0000	0.836898395721925	0.420859961570963	Private 4-18	#FF0000
#FF0000	0.933155080213904	0.319396734852853	Private 4-19	#FF0000
#FF0000	0.751336898395722	0.370128348211908	Private 4- 2	#FF0000
#FF0000	0.954545454545455	0.476662605580776	Private 4-20	#FF0000
#FF0000	0.783422459893048	0.187498801489605	Private 4- 3	#FF0000
#FF0000	0.879679144385027	0.217937769505038	Private 4- 4	#FF0000
#FF0000	0.911764705882353	0.157059833474172	Private 4- 5	#FF0000
#FF0000	0.655080213903743	0.47158944424487	Private 4- 6	#FF0000
#FF0000	0.655080213903743	0.309252542866189	Private 4- 7	#FF0000
#FF0000	0.762032085561497	0.339691510881622	Private 4- 8	#FF0000
#FF0000	0.762032085561497	0.339691510881622	Private 4- 9	#FF0000
#FF0000	0.772727272727273	0.672229672517954	RCAT Angora	#FF0000
#FF0000	0.729946524064171	0.670454811790189	Resnik	#FF0000
#0000FF	0.205882352941176	0.698863236860171	Richland	#0000FF
#FF0000	0.441176470588235	0.812499067825248	Ross	#FF0000
#FF0000	0.82620320855615	0.63494268243885	Savoy	#FF0000
#FF0000	0.152406417112299	0.64407479898051	Scioto	#FF0000
#0000FF	0.419786096256685	0.897726473720342	Shelby	#0000FF
#FF0000	0.665775401069519	0.512174734932114	Sparks	#FF0000
#FF0000	0.740641711229946	0.278813574850756	Spencer	#FF0000
#FF0000	0.804812834224599	0.339691510881622	Stressland	#FF0000
#FF0000	0.783422459893048	0.720170088333945	Thorne	#FF0000
#FF0000	0.879679144385027	0.0454545454545455	U98-311442	#FF0000
#FF0000	0.622994652406417	0.370128348211908	Union	#FF0000
#FF0000	0.633689839572192	0.533735137938426	Vickery	#FF0000
#FF0000	0.31283422459893	0.400567316227341	Wabash	#FF0000
#0000FF	0.483957219251337	0.649147960316415	Wayne	#0000FF
#FF0000	0.56951871657754	0.608309118096633	Wells	#FF0000
#FF0000	0.633689839572192	0.523081712201539	Wells II	#FF0000
#0000FF	0.558823529411765	0.826704345702813	Williams	#0000FF
#FF0000	0.665775401069519	0.549715276543756	Williams 82	#FF0000
#0000FF	0.590909090909091	0.812499067825248	Woodworth	#0000FF
#0000FF	0.697860962566845	0.755682217685283	Zane	#0000FF
