x	y	showSelected
0.526737967914438	0.57840404040404	69338-51615-71
0.558823529411765	0.551424242424242	A3127
0.655080213903743	0.579434343434343	A4595
0.205882352941176	0.559888888888889	A50-7445
0.558823529411765	0.551424242424242	A5424
0.302139037433155	0.57960606060606	A55-5629-4
0.494652406417112	0.465131313131313	A72-507
0.494652406417112	0.465131313131313	A72-512
0.483957219251337	0.636818181818182	A72-512
0.516042780748663	0.509858585858586	A75-105021
0.644385026737968	0.450868686868686	A80-244003
0.644385026737968	0.653676767676767	A81-356022
0.644385026737968	0.450868686868686	A83-214072-23-8
0.751336898395722	0.421838383838384	A93-552034
0.0454545454545455	0.417353535353535	Adams
0.0882352941176471	0.589535353535354	Adams
0.526737967914438	0.57840404040404	AgriPro 25
0.548128342245989	0.43289898989899	Amcor
0.516042780748663	0.509858585858586	Amcor
0.644385026737968	0.420393939393939	Amcor 89
0.31283422459893	0.578969696969696	Amsoy
0.344919786096257	0.566616161616162	Amsoy
0.494652406417112	0.465131313131313	Amsoy 71
0.494652406417112	0.465131313131313	Amsoy x Calland
0.526737967914438	0.488979797979798	Amsoy x Calland
0.494652406417112	0.465131313131313	Amsoy x Portage
0.259358288770053	0.471535353535354	Anderson
0.0989304812834225	0.669797979797979	Anoka
0.366310160427808	0.61570707070707	AP68-1016
0.366310160427808	0.61570707070707	AP68-1022
0.494652406417112	0.465131313131313	AX429
0.31283422459893	0.578969696969696	AX56P64-1
0.526737967914438	0.57840404040404	AX901-40-2
0.697860962566845	0.370131313131313	AYR
0.516042780748663	0.509858585858586	B216
0.483957219251337	0.636818181818182	B216
0.473262032085562	0.577676767676767	Baron
0.526737967914438	0.57840404040404	Beeson 80
0.526737967914438	0.57840404040404	Beeson x AP68-1016
0.526737967914438	0.57840404040404	Beeson x L15
0.141711229946524	0.705868686868687	Blackhawk
0.205882352941176	0.559888888888889	Blackhawk
0.740641711229946	0.458151515151515	Blackjack 21
0.665775401069519	0.554181818181818	BSR 101 x Williams 82
0.644385026737968	0.653676767676767	Burlison
0.259358288770053	0.471535353535354	C1069
0.259358288770053	0.471535353535354	C1070
0.259358288770053	0.471535353535354	C1079
0.344919786096257	0.566616161616162	C1253
0.344919786096257	0.566616161616162	C1265
0.344919786096257	0.566616161616162	C1266
0.344919786096257	0.566616161616162	C1266R
