colour	x	y	clickSelects	fill
#0000FF	0.31283422459893	0.707436363636363	Adams	#0000FF
#FF0000	0.483957219251337	0.623963636363636	Adelphia	#FF0000
#0000FF	0.0989304812834225	0.482636363636363	A.K. (Harrow)	#0000FF
#0000FF	0.644385026737968	0.499127272727273	Amcor	#0000FF
#0000FF	0.494652406417112	0.602163636363637	Amsoy	#0000FF
#FF0000	0.548128342245989	0.609963636363636	Amsoy 71	#FF0000
#0000FF	0.526737967914438	0.469690909090909	Beeson	#0000FF
#FF0000	0.644385026737968	0.4264	Beeson 80	#FF0000
#0000FF	0.558823529411765	0.536363636363636	Bonus	#0000FF
#FF0000	0.17379679144385	0.4314	Boone	#FF0000
#FF0000	0.740641711229946	0.343290909090909	Burlison	#FF0000
#0000FF	0.526737967914438	0.544636363636364	Calland	#0000FF
#FF0000	0.644385026737968	0.465363636363636	Century	#FF0000
#FF0000	0.697860962566845	0.425054545454546	Century 84	#FF0000
#FF0000	0.719251336898396	0.576854545454545	Chamberlain	#FF0000
#FF0000	0.227272727272727	0.401654545454545	Chief	#FF0000
#FF0000	0.815508021390374	0.488436363636363	Cisne	#FF0000
#0000FF	0.366310160427808	0.511563636363637	Clark	#0000FF
#FF0000	0.473262032085562	0.547109090909091	Clark 63	#FF0000
#FF0000	0.740641711229946	0.484418181818182	Conrad	#FF0000
#FF0000	0.772727272727273	0.514054545454546	Corsica	#FF0000
#0000FF	0.516042780748663	0.542	Corsoy	#0000FF
#FF0000	0.644385026737968	0.532036363636364	Corsoy 79	#FF0000
#0000FF	0.633689839572192	0.742981818181818	Cumberland	#0000FF
#FF0000	0.526737967914438	0.5752	Cutler	#FF0000
#0000FF	0.655080213903743	0.471909090909091	Douglas	#0000FF
#FF0000	0.783422459893048	0.611563636363637	Dunbar	#FF0000
#0000FF	0.0454545454545455	0.722309090909091	Dunfield	#0000FF
#FF0000	0.836898395721925	0.4368	Dwight	#FF0000
#FF0000	0.697860962566845	0.645454545454546	Elgin	#FF0000
#FF0000	0.740641711229946	0.611690909090909	Elgin 87	#FF0000
#FF0000	0.740641711229946	0.471909090909091	Flyer	#FF0000
#0000FF	0.419786096256685	0.6438	Ford	#0000FF
#FF0000	0.622994652406417	0.670254545454545	Franklin	#FF0000
