x	y	showSelected
0.526737967914438	0.588917355371901	69338-51615-71
0.558823529411765	0.487347107438017	A3127
0.655080213903743	0.412392561983471	A4595
0.205882352941176	0.430417355371901	A50-7445
0.558823529411765	0.487347107438017	A5424
0.302139037433155	0.51453305785124	A55-5629-4
0.494652406417112	0.391528925619835	A72-507
0.494652406417112	0.391528925619835	A72-512
0.483957219251337	0.505004132231405	A72-512
0.516042780748663	0.310768595041322	A75-105021
0.644385026737968	0.655615702479339	A80-244003
0.644385026737968	0.537557851239669	A81-356022
0.644385026737968	0.655615702479339	A83-214072-23-8
0.751336898395722	0.311876033057851	A93-552034
0.0454545454545455	0.417756198347107	Adams
0.0882352941176471	0.27848347107438	Adams
0.526737967914438	0.588917355371901	AgriPro 25
0.548128342245989	0.370128099173554	Amcor
0.516042780748663	0.310768595041322	Amcor
0.644385026737968	0.372838842975207	Amcor 89
0.31283422459893	0.352929752066116	Amsoy
0.344919786096257	0.349285123966942	Amsoy
0.494652406417112	0.391528925619835	Amsoy 71
0.494652406417112	0.391528925619835	Amsoy x Calland
0.526737967914438	0.466425619834711	Amsoy x Calland
0.494652406417112	0.391528925619835	Amsoy x Portage
0.259358288770053	0.251528925619835	Anderson
0.0989304812834225	0.906731404958678	Anoka
0.366310160427808	0.37852479338843	AP68-1016
0.366310160427808	0.37852479338843	AP68-1022
0.494652406417112	0.391528925619835	AX429
0.31283422459893	0.352929752066116	AX56P64-1
0.526737967914438	0.588917355371901	AX901-40-2
0.697860962566845	0.37654958677686	AYR
0.516042780748663	0.310768595041322	B216
0.483957219251337	0.505004132231405	B216
0.473262032085562	0.398578512396694	Baron
0.526737967914438	0.588917355371901	Beeson 80
0.526737967914438	0.588917355371901	Beeson x AP68-1016
0.526737967914438	0.588917355371901	Beeson x L15
0.141711229946524	0.286322314049587	Blackhawk
0.205882352941176	0.430417355371901	Blackhawk
0.740641711229946	0.372528925619835	Blackjack 21
0.665775401069519	0.440177685950413	BSR 101 x Williams 82
0.644385026737968	0.537557851239669	Burlison
0.259358288770053	0.251528925619835	C1069
0.259358288770053	0.251528925619835	C1070
0.259358288770053	0.251528925619835	C1079
0.344919786096257	0.349285123966942	C1253
0.344919786096257	0.349285123966942	C1265
0.344919786096257	0.349285123966942	C1266
0.344919786096257	0.349285123966942	C1266R
0.483957219251337	0.445086776859504	C1421
0.558823529411765	0.492487603305785	C1520
0.526737967914438	0.466425619834711	C1528
0.697860962566845	0.49195867768595	C1732
0.259358288770053	0.251528925619835	C985
0.526737967914438	0.466425619834711	Calland x Altona
0.0989304812834225	0.282917355371901	Capital
0.558823529411765	0.487347107438017	Cartter
0.558823529411765	0.492487603305785	Century
0.526737967914438	0.466425619834711	Century
0.644385026737968	0.537557851239669	Century 84
0.665775401069519	0.440177685950413	Century 84
0.259358288770053	0.251528925619835	Chippewa
0.205882352941176	0.430417355371901	Chippewa
0.740641711229946	0.569752066115703	Cisne
0.836898395721925	0.304603305785124	CL0J095-4-6
0.836898395721925	0.304603305785124	CL0J173-6-2
0.836898395721925	0.304603305785124	CL0J173-6-8
0.259358288770053	0.251528925619835	Clark
0.205882352941176	0.430417355371901	Clark
0.366310160427808	0.37852479338843	Clark x Blackhawk
0.366310160427808	0.37852479338843	Clark x CNS
0.366310160427808	0.37852479338843	Clark x (Lincoln x CNS)
0.366310160427808	0.37852479338843	Clark x PI 86.024
0.366310160427808	0.37852479338843	Clark x T145
0.366310160427808	0.37852479338843	Clark x T201
0.526737967914438	0.588917355371901	CN210
0.526737967914438	0.588917355371901	CN290
0.366310160427808	0.37852479338843	Columbus
0.740641711229946	0.372528925619835	Conrad x Elgin 87
0.740641711229946	0.384520661157025	Conrad x Elgin 87
0.344919786096257	0.349285123966942	Corsoy
0.516042780748663	0.310768595041322	Corsoy 79
0.516042780748663	0.310768595041322	Corsoy x Hark
0.516042780748663	0.310768595041322	Corsoy x Wayne
0.483957219251337	0.505004132231405	Corsoy x Wayne
0.558823529411765	0.487347107438017	Crawford
0.516042780748663	0.310768595041322	Cumberland
0.558823529411765	0.487347107438017	Cumberland
0.366310160427808	0.37852479338843	Cutler
0.526737967914438	0.551165289256198	Cutler 71
0.82620320855615	0.531768595041322	CX1705R-108
0.141711229946524	0.286322314049587	CX291-42-1
0.355614973262032	0.378219008264463	D56-1185
0.633689839572192	0.568958677685951	Delsoy 4500
0.697860962566845	0.37654958677686	Dimon
0.0454545454545455	0.417756198347107	Dorman
0.526737967914438	0.466425619834711	Douglas
0.558823529411765	0.487347107438017	Douglas
0.558823529411765	0.487347107438017	DSR-304
0.0454545454545455	0.417756198347107	Dunfield x Haberlandt
0.751336898395722	0.244210743801653	Dwight
0.622994652406417	0.359198347107438	Egyptian
0.558823529411765	0.487347107438017	Elf
0.697860962566845	0.37654958677686	Elgin 87
0.344919786096257	0.349285123966942	Evans
0.558823529411765	0.487347107438017	Fayette
0.473262032085562	0.398578512396694	FH22-815
0.259358288770053	0.251528925619835	Ford
0.205882352941176	0.430417355371901	Ford
0.548128342245989	0.370128099173554	Fremont
0.558823529411765	0.487347107438017	Fremont
0.0454545454545455	0.417756198347107	Gibson
0.558823529411765	0.487347107438017	Gnome
0.259358288770053	0.251528925619835	Grant
0.0454545454545455	0.417756198347107	H2
0.0454545454545455	0.417756198347107	Haberlandt x Dunfield
0.516042780748663	0.310768595041322	Harcor
0.601604278074866	0.289078512396694	Harcor x (M61-96 x Hobbitt 87)
0.516042780748663	0.310768595041322	Hardin
0.344919786096257	0.349285123966942	Hark
0.302139037433155	0.51453305785124	Hark
